221,77987
689,167726
789,213121
263,184315
37,264660
1197,253254
1304,241448
368,68737
1350,265297
5951,277432
1519,187462
7575,189204
7999,236314
601,282313
1736,160768
10030,250235
1819,286521
1978,178917
8339,192023
10692,262782
6606,180679
2098,323674
9657,342021
2217,338312
8934,340753
2285,329712
4864,146301
2321,111170
2432,339145
6644,370835
8293,378505
6277,332880
9098,367275
192,241259
3305,356335
10916,382563
3314,86822
3469,393731
3576,380622
7450,399810
8894,403867
10080,323788
5391,413644
5170,407531
4105,346225
7467,248705
8243,441647
10455,408198
7474,493655
6670,520736
4693,493001
10051,353501
4734,405174
11054,460591
11078,543562
5813,198062
771,198287
808,41602
845,194188
956,253239
7496,227877
1190,242512
4860,321528
1688,328799
7865,248087
1739,275601
10669,219666
1856,167960
9170,300600
5439,326215
2008,289198
4762,192141
7836,319341
2329,297023
9606,268413
8186,363810
5349,334028
5394,346170
8853,361183
6739,382913
2713,226693
6800,360606
3063,334304
3086,336265
3106,271706
7543,365339
8135,280030
3388,292109
9057,207323
6345,277806
7733,262982
10163,217129
5506,440508
7466,179690
5523,339404
4189,450477
168,399404
4307,365083
9648,392588
4393,445203
9163,239529
11114,473044
9266,471994
7475,457859
5934,438747
4575,446663
4611,475007
4614,468204
5935,521512
10392,408221
9179,439015
10206,486103
6895,504295
736,159167
10654,171964
890,157099
5979,253046
10453,191515
6499,276935
1140,276843
8947,315044
5999,318007
1859,296099
6234,332177
1894,264999
2009,332270
2173,322614
2250,334536
2266,253775
9519,305044
8076,256687
2510,286697
6065,353641
10001,263976
5943,330483
5789,334057
2986,340611
193,376660
3178,382873
3481,335797
3562,396616
3565,160165
3573,333847
7905,357600
10226,419522
5685,408374
3967,180850
4091,348391
4142,461257
4144,394061
7028,441967
5776,476755
8269,337800
4337,401561
8439,340270
9682,451877
7950,303904
9223,287925
10696,364305
6884,438817
9008,439677
9804,509412
6913,489930
4697,490780
8943,474331
9688,121803
9201,445068
10474,472226
9524,426222
10721,359628
10247,366617
9242,422666
348,158011
217,72710
666,158739
745,207768
784,160118
787,174366
914,255756
5447,248507
11102,183336
8077,137876
1257,204768
402,270946
1298,210908
7269,334440
1849,289159
1864,254905
6322,337663
6960,308017
2027,202456
2094,261818
5335,296065
6608,300433
6617,180651
10651,369165
2406,321666
6484,359983
2573,298986
2813,153518
2869,381071
9219,397873
7703,370664
4836,332210
3260,218850
3269,276624
3375,300321
3444,426576
6385,362226
10908,308919
3602,325373
3655,382883
3672,174371
7739,279450
8242,470205
5005,426338
4338,470819
4345,328743
6689,470616
6301,450994
4471,474063
5231,492355
5555,521647
5952,454992
8879,408992
9522,298442
9726,513427
6894,492719
4741,412207
10207,486266
8317,539572
9385,201485
8692,170632
1081,199977
1104,265010
1448,250660
8058,320179
1896,289891
1900,172729
7360,316637
1958,266047
1986,338676
2013,261392
2023,298729
10857,246449
2283,320146
2288,200645
10468,280755
10020,352209
2720,359440
2756,335026
10946,235046
6373,356900
9600,248424
9207,338381
9513,356366
2955,258322
3060,266036
3081,399097
3205,395479
3378,402536
3453,408203
6222,388791
3782,396810
8307,447352
8375,445916
4013,315196
4119,437830
10619,282058
6295,428288
7942,244237
6715,303854
4843,395991
8389,391962
10502,457601
4373,401600
5008,431072
9541,435011
4630,466169
8962,407447
4670,473328
4680,421663
5250,476335
4754,502298
8278,393496
6034,219781
305,107985
127,203833
1290,306650
1522,169343
5959,325113
370,251516
2017,295830
7924,324578
6972,342925
10718,268099
7366,345875
2529,283710
2537,300792
6486,378092
2586,267193
2623,253395
9470,341007
2674,364540
2759,142914
2823,266102
2924,379220
3037,367816
3209,364615
6174,427045
3571,350779
8297,380282
9095,394063
3924,333667
6290,264567
6897,432025
4160,428584
4215,362267
167,353486
5197,392012
8015,335436
7041,476424
7163,502315
4520,408396
4548,429417
9655,499161
7805,428081
7982,437425
6196,437331
7755,492998
4634,345731
11095,377186
5249,510467
10995,434389
10489,475379
11056,170125
7079,532908
359,81005
9,87421
983,184345
1010,169864
9321,261038
6555,294600
5381,303742
5289,229839
141,284052
599,308457
1572,254719
6595,299588
4797,228205
544,86828
6957,308447
1885,285024
1997,296313
10194,345519
9031,344043
8062,282762
5418,336004
7680,215881
2391,324573
8344,298026
2502,267310
2522,320005
